제목,장점,단점,경영진에게 하고싶은 말
고인물들의 세계가 깨지고 있다. 새로운 변화중,"높은 브랜드 인지도, 자유로운 휴가, 워라밸을 지지하는 문화 등","비전없음, 경영진 능력 부족, 뭘 해야할지 잘 모름, 이것저것 간만 봄",뭘 해야할지 모르겠으면 공부하세요. 비전있는 경영진이 필요합니다.
기업문화가 좋습니다. 되게 자유롭고 일에 몰두할 수 있었어요,재택 근무가 가장 큰 장점입니다. 1층에 카페도 저렴해서 좋았습니다.,재택근무가 아니라면 단점이 될 수도 있는 점이 꽤 많을것 같습니다,AI도 좋지만 다른 서비스도 신경써주세요
네임밸류 있고 나름 좋은 기업으로 기억함,회사나 제품이 네임밸류가 좀 있다보니 일하는데 있어서 자부심 비슷한게 있음,인력 관리가 잘 안되는 듯. 그래서 단기간 근무하고 이직하는 직원들이 많음,핵심 인력들의 장기근속을 위한 조치를 마련해주세요.
신입들은 들어와서 회사가 이런곳이구나 알고 가면 좋은 회사,그나마 재택근무 있어서 회사에 계속 다녔다. 이거마저 없어지면 남아서 다닐 사람은 누가 있을까?,"잘 되지도않고 다른 회사랑 차별점도 없는 AI 뜬구름만 보고 쫓아감, 수직적인",딱히 바라는건 없고 그냥 하던대로 하세요
자유롭고 자율적이네 실적이 필요하다.,재택근무 3일의 장점이 크다 아주 큰 장점 복지도 꽤나 좋다,자율이란 이름의 방치 혹은 압박 존재 개발자만 그럴수도..,"연구,개발보단 기획,마케팅이 우선되는 느낌입니다"
신입 개발자들에게는 좋음 복지도 그냥저냥 특별할건 없지만 있을건 있음,신입 초봉 높고 경력 쌓기 좋음 재택 있어서 좋음 휴가 자유롭게 사용 가능,인사발령 잦고 사무실 위치가. 영 애매함 체계가 부족하다는 생각,직원들이 실제로 원하는게 무엇인지를 파악해주시면 좋을것 같음
예술의전당 앞에 사옥 있음 구내식당 없음,젊은 IT 회사의 느낌을 내기 위해 노력하는 편임.,추구미에 비해 가지고 있는 제품이 다소 올드함.,화이팅 더 좋은 회사로 만드시길.
개발자들을 위한 회사지만 개발자 수준이 낮은 회사,워라밸 훌륭 예술의 전당 산책로 훌륭 사옥 보유 상장사,경영진 수준 미달 인사팀 많이 이상 개발자 능력치 낮음 사업 개발 역량 전무,이제 스톡옵션 욕심 버리시고 사업에 집중하시길
좋은사람 많으나 위로갈수록 썩은 회사,1층 카페와 괜찮은 사람들도 꽤 많다는 점? 실무진들은 괜찮은듯,인사팀이 단점인듯 발전이 안보임 할말은 많지만 참습니다,회사의 발전을 진심으로 원한다면 당장의 비용 줄이기에만 급급해하지 말고 조금 더 넓고 장기적인 시각으로 바라봐주시길
젊은 꼰대들이 나이 들어버린 오래된 벤처,간식이 있었어요.. 송년회나 워크샵 같은 것들을 잘 챙겼었죠..,"회장라인, 사장라인, 고인 사람들의 정치들.. 직무적으로 성장할 수 있는 기회 부재, 모바일에서 딱히 잘 되는 제품이 없음..",아직도 이해할 수 없는 일화가 너무 많은데.. 창립멤버 모두 여기가 첫회사이니 뭘 아시겠어요..
앞으로의 10년이 더욱 기대되는 회사,대기업 수준은 아니지만 점차 확대되는 복지제도와 가족친화적인 기업문화,"수평적인 ""님"" 호칭 문화로 인해 책임자가 명확하지 않아 업무 효율이 저하되고, 실질적인 의사 결정 구조가 모호한 경우가 많아짐. 직원들은 승진이나 보상에 대한 동기부여가 약화되는 경향이 있음. 직책자가 명확하게 지시하고, 또한 책임지는 문화가 필요함. 그러기 위해선 직급, 직책 호칭으로 서로에 대한 리스펙이 먼저 생겨야 할 것으로 보임.",대체적으로 경영진이 유한 성격임. 카리스마 있고 강압적인 리더십이 필요한 때.
가족같지만 약간 비전문적인 회사이었음,실수를 하더라도 잘 덮어주는 분위기. 실패에 대해서도 용인해줌,전문적인 느낌이 없고 고인물들이 많아서 회사 성장이 잘 안됨,외부 인력을 적절히 배치하여 조직에 긴장감도 주시고 성과에 대해 냉정히 판단하시길
사공이 많아 사업이 산으로 가는 중.,부서마다 다르겠지만 자유로운 분위기에서 업무할 수 있음,사내 정치질이 심하고 중간 개발자 대우를 안해주기 때문에 전부 나가서 중심이 되는 인력이 없음,직원들이 바라는건 이미 알고 있지 않을까 싶은데 듣고도 모른척하는듯
신사업 신기술을 경험하기 좋은 환경 자유로운 소통 문화,유연근무제 운영 기업 소통이 자유로운 조직문화 기업 안정성,재택근무자가 많아 서로의 얼굴을 모를 수 있음 역과의 거리,신사업에 대한 끊임없는 연구로 기업성장과 구성원 성장 모두를 챙겨주길 바랍니다
무난하면서도 아쉬워서 신입으로 와서 이직하기 좋음,신입으로 오면 적당히 이직 경력 쌓기 좋을것같다는 것 정도,회사가 이익을 내지못하고 있어서 보상이 약하고 단기목표에만 치중한다,직원들 보상은 약하고 경영진들만 주식 팔아 돈벌고 주가하락하는거 부끄럽게 생각하세요
인사부서에 심각한 문제로 근무자들 고통 받는곳,많은 경험을 해볼수있다 면접때와 다른 업무를 시키는 등 이것저것 다 시키기 때문,일은 시키겠지만 연봉인상은 꿈도 꾸지마시고 인사부서 문제가 심각해서 인사평가로 장난질 협박,왜직원들이 퇴사율이 높은지 남탓 그만하고 스스로를 돌아봐라 뭐 지금 이순간에도 직원들탓하고 있겠지만
부바부가 매우 심해서 많이 힘든 곳 아주 수직적인 곳,"장비지원금, 복지포인트, 사내카페 등 기본적인 복지를 제공해줌",그 외에 모든 것이 힘듦 능력이 있어도 의견 얘기할 분위기가 아닌 상사 등,좋은 능력을 가진 사람들의 말을 잘 들으시면 좋을것같아요
부서마다 분위기가 확 다르다 자유로운 분위기 부서 조용해서 숨죽이는 분위기 부서도있고,사내 커피숍이 아래층에 있고 저렴해서 동료들과 소통하는 장소로 좋아요,신사업 손실로인한 회사의 적자를 탈출시킬 방법을 모색했으면합니다,신규사업은 꼭 성공하시길 바랍니다 잠깐이었지만 회사에서 많은경험을했고 인품좋은 사람들과 함께해서 복이었습니다
"사회초년생에게'는' 좋은 회사입니다만, 경력에게는 물음표","대리, 과장급이 되면 퇴사하기 때문에, 신입이 경험하지 못할 업무를 할 수 있다 - 좋은 사람을 잘 채용하는 눈이 있는 듯하다 - 신사업의 기회가 많음 - 출산/육아 차별이 없고 워라밸이 좋음",사업을 키우고 굴리는 데 투자를 하지 않음 - 장점에도 기술한 내용이지만 일을 잘 하는 연차가 되면 퇴사함. 길을 잡아줄 좋은 선배가 부족함 - 개발자 출신의 경영진이 많아 비즈니스적인 관점이 부족,단순히 회사를 오래 다녔다는 이유로 상위 직급자가 되면 안된다고 생각함 - 전문 경영인이 필요하지 않을까
신입은 이것저것 경험하기 괜찮은 회사. 경력은 딜레마에 빠질 수 있는 회사,워라벨이 괜찮은 회사. 사람들이 친절하다. 사내 커피숍이 좋다.,"몇몇 임원들과 대표의 주관에 의해 흘러가는 회사, 열심히 논의한 결과가 탑다운으로 하루아침에 바뀐다.","인터넷에 기사가 자주나오는 회사보다, 직원이 일 할맛나는 회사가 되어 주세요."
"최악의 회사로 경영, 인사 부분에서 문제가 많다는 걸 모두가 알고있음","워라밸과 재택, 카페가 있다는 점은 장점이라고 할 수 있음",직원을 부품처럼 쓰다가 내치는 경우가 비일비재하고 특정부서에서 주변사람들을 폄하하는데 그러면 안 되는 부서에서 임직원을 폄하해서 내부적으로 말이 많음,우물안 개구리 같은데 직원들의 의견을 들을 필요가 있어보임
깔끔한 시설 및 체계적인 관리 시스템,테스트 장비의 지원이 좋았습니다. 각 운영체제별 또는 각 모바일 기기별 테스트를 할 수 있도록 구비가 되었습니다.,"원격으로 개발자와 대화하다 보니, 재현방법을 텍스트 및 사진으로만 하는 것들이 답답했었습니다.",앞으로 더 성장할 수 있는 많은 제품들을 만들어 주세요.
사람들이 착한 욕심없이 다니기 무난한 회사,사내 카페로 커피값 절감 팀바팀이지만 준수한 워라벨 사람들이 대부분 유한편,역에서 멀다 주변 식당 밥값이 비싼편 커리어 발전 가능성에 대해선 의문 개발자 중심,비개발 직무의 이야기도 많이 들어주시길
개발자가 근무하기 좋은 환경의 IT 기업,"개발자의 의견이 적극 반영되는 분위기이며, 주도적으로 서비스를 구축해나갈 수 있습니다.","업력이 오래되었기 때문에, 성장 동력을 잃은 느낌이 있습니다. 사업의 방향성이 나쁘진 않으나, 이를 추진하는 힘이 조금 딸립니다.",미래를 위해 사업 전략을 다방면으로 고민하는 모습은 좋습니다. 빠른 시일 내에 매출을 발생시켜야 인원 유지가 가능할 것 같습니다.
처음에는 성장성이 기대되었는데 지금은 그냥 그럭저럭 다닐만한 회사,비교적 적은 연차에도 자기 주도적인 업무 가능한 회사,기업이 성장 하기에는 너무 나이들었고 점차 조직문화가 대기업 공무원화 되가고있음,10년 넘은 인원들이 이탈하는 이유를 생각해보시길
자율과 평등의 회사 자유로움을 원한다면 강추,"수평적인 문화에, 자유로운 근무, 주3일 재택근무 최고의 회사","자유에는 책임이 따르고, 알아서 '잘' 해야한다는 점 , 알아서 어떻게 잘 해야하는지에 대한 끊임없는 고민이 필요하다.",좋은 회사를 만들기 위해 꾸준히 노력하시는 것 같습니다
"AI를 열심히 연구하는 기업, 단 매출과 실적은 의문.",워라벨 좋음. 야근 없음. 급여안밀림. 님 문화. 코스닥 상장사.,경영진 능력 부족. 회사 주요 전략이 기술 개발과 PR임. 명확한 조직별 R&R 없음.,기술이 아닌 경영을 아는 인사를 기용해야 할 시점. 시간이 많이 남지 않음.
이 기업은 최고다! 쭉쭉 뻗어나가길 바랍니다,"개발자 우대. 개발 전문 IT회사. SI 업체 아님. 게임, 웹서비스, 유틸 등 다양한 제품군 보유",큰 대박 아이템이 없고 중박 정도의 아이템이 많은 듯. 단점은 아님. 아직 성장 중,위치. 교통편이 좀 별로인거 같습니다.
워라밸 좋고 다양한 경험 할 수 있는 회사,"워라밸 좋게 다닐 수 있고, 개발조직 수준이 높아서 배울거도 많고, 새로운 기술들도 다양하게 써볼 수 있습니다.",뭘 하든 윗선까지 보고하고 진행해야해서 프로젝트 할 때 답답,팀장레벨에 좀 더 많은 권한을 부여했으면
미래 먹거리가 없어서 성장성이 없는 회사,사람 쪼는 분위기 아니라 적당 적당히 다녀도 되는 회사,잘하나 못하나 상벌이 없음 뜨뜨미지근한 분위기라 동기부여 안됨,구성원에 명확한 비전을 제시해주면 좋겠음
사회초년생들에게 무난한 회사라고 생각함,이것저것 많이 시도를 해보는편인 것 같음. 배우고자 하면 여러가지를 배울 수 있는 환경,젊꼰이 꽤 있다. 회사의 문화라기보다는 개인의 특성 같지만 아쉬운 부분임,계속 이대로 열심히 해주시길 바랍니다.
역이랑 먼 회사 심지어 쭉 언덕길ㅜㅜ,하고 싶은게 많아서 잘 하면 좋은 성과 낼 수 있을 듯,인원이 부족하고 팀바팀이지만 일이 한사람한테 몰리는 듯,딱히 할말 없음.. .. .. ..
과거의 영광에 빠진 그런 회사입니다.,복지는 좋은 수준으로 주려고 항상 노력 중이고 회사도 리모델링하고 좋아요,확실한 돈벌이가 없어지고 있습니다. 앞으로 먹고 살 거리가 걱정임,사람들 다 좋은 분들이니 목표를 뚜렷하게 가지시길
그리 어렵지 않은 미션과 괜찮은 워라벨,워라벨 괜찮고 자기일 하면 터치 안하는 수준 개발 쪽은 ai특화된 개발이 조금 있는편,특정 기술에 대해 약한 부분이 있음. window 어플리케이션쪽은 괜찮은 편이나 다른 분야에 대해서는 윗급에서 그리 크게 생각 안하는편,next가 조금 부족함. 다음 스텝에 대한 고민과 결정을 해서 프로덕트 개발에 매진 해야할때
적절한 일 적절한 난이도 적절한 연봉,워라벨을 지키고 싶다면 좋은 선택이라고 생각함. 이 정도 연봉에 업무 난이도면 적절한다고 생각듬.,하는 만큼 성과가 어필되지 않고 금정적인 성과가 아니면 경외시되는 부분이 있음.,천천히 성장하는 느낌보다 새로운 트렌드에 맞춰가기 급급한 듯 해 아쉬움.
사람들이 리더들을 잘 따를려고 노력하는거 같아요,IT 1세대 기업으로 다른 곳에 영업을 가도 다 알아줘요,수직적인 조직 문화로 속도가 빠르지 않아요. 유연성이 필요합니다.,수직적인 조직 문화로 속도가 빠르지 않아요. 유연성이 필요합니다.
비전도 연봉도 부족했던 회사로 기억됨,아무래도 재택이 있었던 점이 가장좋았던 것으로 기억됩니다,"연봉이나 복지같은게 전반적으로 부족하고, 나가는사람을 붙잡을 수 있는 메리트가 없음","구성원 소리에 좀 기울이고, 나가야 하는 사람과 나가도 되는사람을 잘 구분하면 좋겠습니다"
그들만의 리그 능력있는 사람들은 나가는중,워라벨을 확실하게 챙길수있다. 생각보다 나쁘지않은 복지 동료들이 친절하고 사람들이 착하다,신규 서비스를 많이 하는것 같긴한데.... 방향성을 모르는 의사결정 그밖에 업무에서 오는 스트레스가 확실히 있는편,의견을 적극적으로 나눌수있는 창구가 있으면 좋겠습니다. 능력있는 직원들을 굴릴생각만 하지말고 잘 관리좀 해주세요
재택근무로인한 업무 효율성 증가와 삶의질 향상,"휴먼AI 비지니스 잘되는중이고 향후 비전이 좋음 자체 사옥이 있는점, 아직까지 재택근무 하이브리드 방식은 좋은 장점",1. 전형적인 어린 꼰대들의 집합소 2. 어떤 기업도 활용하지 않은 본인들만의 올드한,1. 기존 인원 좀 감싸지마시고 신규 채용자들도 챙겨주시길 바랍니다. 2. 직급제 도입이 시급해 보입니다.
"워라벨 좋고, 공무원처럼 다니기 좋은회사. 개인의 역량 성장은.",워라벨이 좋아서 퇴근후 다른 일정하기 좋습니다. 표면적으론 자유로운 분위기.,"워라벨은 좋지만, 시니어가 부족해서 개인의 성장의 기회를 찾기 힘듦 작은 회사 규모에 비해, 사내 정치가 다소 있는 듯함.","하시는 대로 계속 하시고, 행운을 빕니다."
안정적이고 배울게 많지만 정적인 회사,"프리한 분위기, 사내카페, 잘 쌓여있는 과거 자료, 자유로운 도전 분위기",동적이지 못해서 의지가 없다면 고이기 쉬움. 그런걸 좋아한다면 잘 맞을듯,규모가 크지만 조금은 융통성을 보여주면 좋겠음
IT회사 중 업력이 긴 회사. 최근 실적 안좋음,1층카페 저렴하고 맛있다. 아직 재택근무가 가능한 곳이다.,사내정치가 심하다. 몇몇 사람들이 부서를 넘나들면서 회사가 산으로 간다. 회사 비전 부재 회사 실적 안좋음,회사 현실을 냉정하게 파악해주세요.
한명으로 갈리는 사람들? 퇴사율이 왜 높을까요?,월급 밀리지 않고 나온다 it회사라서 노트북지급 부속기기 지급에 후하다,역에서 멀다 마을버스타야함 주변에 밥 먹을만한곳이 없다 워라벨이 없다 사람들이 삭막하다,글쎄요 분위기라는것은 쉽게 바뀌는게 아니라서요
알약 알툴즈에서 AI기업으로 변화중임,다양한 경험과 예술의 전당 바로 앞이라 문화생활 가능함,역에서 매우 먼거리와 근처 먹을곳이 부족해서 식사 이동시간이 김,끊임없는 비전제시가 필요해보입니다 미래 먹거리 필요
신입이 일 배우기에 무난한 회사입니다.,워라밸이나 같이 일하는 동료와 같은 근무환경은 좋았습니다.,주력 사업에 대한 성장 가능성이 크게 보이진 않습니다.,초심을 잃지않고 회사와 직원 모두 성장하는 회사로 만들면 좋을 것 같습니다
칼퇴에 편하고 수평적인 관계가 인상적이었습니다.,"수평적, 칼퇴, 빡빡하지 않은 분위기, 자유로운 분위기, 아침 저녁 간식",발전을 원하는 사람에게는 전반적으로 아쉬움이 있을 수 있습니다.,사원들이 발전할 수 있는 장치들이 많으면 좋겠습니다.
좋은점 나쁜점 다 있는데 그래도 굳이..,음 젊은사람 좀 많고 그렇다고 젊은 분위기는 아니고 젊고자 노력하려는것 같아요 대표가 실장급 중에서도 특정인의 의견을 많이 참고하는것같은데 좋은 방향은 아닌것같아요,역에서 너무멀고 식당도 없고 ㅜㅜ 열심히 하는사람은 열심히 하고 안하는 사람은 또 아예 안해서. 그래서 발전이 없는것 같내요,음.. 어떤 솔직한 피드백이 듣고싶을때 오히려 몰래 제보 가능한 아날로그 방식으로 해부시면 좋을것같아요
직원들간 소통이 원활하고 대체적으로 상식이 통하는 곳,직원들간 소통이 원활했어요. 대체적으로 직원들간 수평적인 구조라서 사람때문에 스트레스를 받는 일은 적었어요.,오래된 직원들 중에는 일 안하고 월급만 챙겨가는 경우가 종종 있어요.,직원들의 평가에 좀 더 신경 써주세요.
"개발자에 의한, 개발자를 위한, 개발자의 회사",개발자 출신 CEO라서 개발자 환경에 대한 지원이 좋고 개발자의 어려움에 대한 수용이 강함. 그래서 개발자들이 일하기 좋은 회사임에는 틀림없음.,"CEO가 개발자 출신이어서 좋은 점도 있지만 개발자 출신이라서 내가 해봐서 아는데, 그건 이렇게 하면 되는거 아니냐 등의 얘기들이 있어서 호락호락 하지 않음. 빡세기도 함",개발 기술력은 좋은데 그것을 사업화하는데는 어려움이 있어보임. 좋은 개발력으로 돈도 많이 벌어서 급여가 더 많이 올라갔으면 좋겠음.
개발자 대우하는것 같은데 계속 나감. 여기서 성장해서 네카오 가는것 같음.,연차 사용 자유로운점 좋음. 이런저런 복지 하려고 시도 많이함.,제품 기획력이 예전만 못하고 사내 소통이 잘 안되는편 피드백이 빠르지 못한 점이 다소 있음,새 프로젝트를 들어가면 제대로 운영해서 제대로 평가받게 해야지 운영비용 아껴서 발생한 장애로 인해 저평가 받는것이 안타깝습니다.
옛날의 영광에 의지한 채 연명하는 회사로 비젼은 없어보인다,빵을 준다 나름 이름이 있는 회사래서 이름 말하면 안다 이직할때 유리하다,위치가 좀 애매해서 많이 걷는다 꽉 막힌 경영진 미래가 보이지 않는다,기획 사업을 몇년 하고 말 생각이 아니라 대변화가 필요해보인다
모두가 Goal을 향해 협심하고 노력해요. 직무에 상관없이 주어진 프로젝트에 모두 열과 성을 다합니다.,직원들의 업무환경에 많은 고민과 다양한 시도를 통해 개선하려고 노력합니다. 새로운 사업을 위해 지속적으로 시도하고 서서히 그 결과가 보이는 듯 해요.,직원의 커리어 로드맵에 대해서는 관심이 없어요. 사람이 필요하면 여기모여 저기모여가 심하고 이과정에 정작 본인의 의견은 반영하지 않아요. 따르던지 나가던지 극단적인 선택을 요구해요.,직원을 조금 더 소중하게 여겨줄 수 없을까요? 소모품으로 대하는 느낌을 종종 느껴요.
"열심히 노력은 하는 회사, 그렇지만 성과나 주변 평가가 좋지 못한 회사.",부서장에 따라 다르겠지만 눈치 안보고 지각이나 마음껏 있는 한도 내에서 휴가 쓸 수 있음.,"왜 카카오에 이직하냐며, 이직하기도 전부터 선 긋기하거나 개발자 직군이 아니어서 찬밥 신세인 느낌이 들기도 함. 경영진이 개발자 출신이라 그런 듯",이직률이 높은 이유를 잘 생각해보시면 좋을 듯
주니어 개발자들이 성장 할 수 있는 환경이라고 생각합니다.,"자유로운 연차, 복지포인트 등 평균적인 복지 최근 리모델링으로 쾌적한 환경 주니어 개발자들이 성장 할 수 있는 환경",회사 위치.. 너무 어중간함 그것 말고는 딱히 성장 가능성 있는 회사인것 같음,회사 상황을 더 활발히 공유 해줬으면 좋겠음
개발자 대우가 좋다. 좋은쪽으로 많은 변화가 생긴곳,1. 탄력근무/재택제도: 근무시간에 대해 유연성이 좋다. 누구도 눈치 주지않고 오히려 편하게 사용하라고 하는편. 소속팀과 함께 일해야하는 날이 있다면 그날은 되도록 나오는편. 2. 간식: 잘 나옴 3. 사무실: 리모델링이 괜찮게 된듯. 화사하고 쾌적 그자체 4. 같이 일하는 사람: 어느샌가 젊은 사람들이 굉장히 많아졌다. 서로 님 호칭을 쓰기때문에 위아래 구분없는 편이지만 착한 사람이 있는 반면 말이 좀 거친사람도 분명 있다. 전반적으로 다들 아주 좋다. 또한 의견수용도 잘해줘서 서로 많이 도와가며 일한다.,치명적인 단점으로 점심을 안준다. 회사 위치가 애매한 편,많은 변화를 적극 수용하면서 직원들의 사기를 높여주고 있습니다. 앞으로도 소통 많이해서 애사심을 더 갖게 해주시면 고맙겠습니다.
기존의 안정적인 사업에 신사업을 적극 추진하고 있습니다.,기존 안정적 제품군에만 정체되어있기 보다는 새로운 사업을 시도하는 환경입니다.,사무실 공간이 좁아서 더 넓은 곳으로 이사를 가면 좋겠습니다.,항상 새로운 시도와 직원
개발자들이 성장하기에 적합한 회사입니다. 주니어 개발자에게 추천하는 회사에요.,"전반적으로 편안한 분위기이고, 개발문화가 잘 정착돼있어 주니어개발자들에게는 성장의 발판으로 삼기 좋은 회사에요.",신규 비즈니스의 미래를 잘 모르겠어요. 현재는 안정적이지만 나중에는 어떨지 잘 모르겠어요.,특별히 바라는 점은 없어요~ 직원들을 위해주시는 마음은 잘 알고있씁니다
비전 많고 하고 싶은게 많은 회사인 듯,수평적인 분위기 자기개발 지원 복지 제도 다양 자율 출퇴근,교육이 부족하고 사수가 없는 느낌 알아서 해나가는 느낌이 강하다,합리적인 보상 및 복지체계를 만들어줬으면
몇 안되는 뚝심있는 IT 알짜배기 회사,"연차사용 자유, 열정적인 사람들은 더욱 다닐 맛 나게 해 주는 보상체계",그 많던 복지들이 하나둘 씩 안보이기 시작 합니다. 다 어디 갔니?,회사발전을 위한 미래비전 공유를 더 많이 해주세요
안좋은 평이 많지만 평만큼 나쁘지는 않다고 생각,연차가 자유롭고 재택이 활성화 되어있다. 신입한테는 좋은 편인것같다고 생각함 아 육아휴직도 잘 되어있는 편,"일부 일하지 않는 고인물들, 너무 많은 사공들과 일을 위한 일, 일부 말이 안통하고 일도 안하는 부서",체계적으로 일할수있게 올바른 방향성을 처.음.부.터 제시해주면 좋겠음.^^
"같이 일하는 동료들은 좋으나, 리더쉽이 아쉬운 회사. 성장하기 위한 노력을 한 회사",사람들이 순하고 착하다 - 연차 등을 눈치 보지 않을 수 있다,소통이 매우 부재하고 공감을 시키려는 노력이 없다 - 의사결정이 거의 Top down 방식이다 - 매출과 사업을 위해 유저를 전혀 고려하지 않은 방향으로 제품이 구현된다,직원들의 의견에도 귀를 기울여주세요 - 유저 관점으로 제품을 만들어주세요
연봉이랑 워라벨은 불만족스러우나 직무경험 쌓기에는 좋음,업무적으로 성장하기 좋고 어느정도 네임이 있기 때문에 이직의 발판으로 삼기 좋아보임 같이 일하는 사람들이 친절하고 좋은 편이며 업무 시스템이 잘 갖춰져있음,야근 강요는 없으나 주3회 정도 야근 비개발은 박봉이 맞음,주니어 대비 중간층이나 시니어 비중이 부족해서 시니어 인력 충원이 필요해보임
"연차 대비 다양한 제품에 참여할수 있으며 데이터를 기반으로 한 인사이트 뽑아내기가 매우 중요, 일은 많음","연 120만원 복지포인트 지원, 재택근무시 필요한 물품 구매비 지원, 원하는 도서 구매 신청 가능",일이 너무 많고 효율적으로 처리할 수 있는 시스템이 없다 장급 퇴사가 한동안 많아 불안했음 근처 밥값 너무 비쌈,전직원 주 1회 이상 재택근무 도입 자사 서비스에 대한 외부 전문가 컨설팅
개발자에게 편한 회사. 개발자는 지금도 많은데 제대로 출시된 제품이 있는지 궁금하다,"도서구입비, 자기계발비 지원 외에는 특별한 장점은 아직 모르겠다",의사결정을 언제 내릴지 도무지 감 잡기가 힘들다. 어떨때 의사결정도 안하고 그냥 그렇구나 하고 지난간다,합리적이거나 효율적인 의사결정 체계가 잡혔으면 한다
진리의 팀바이팀을 알게해준 회사. 회사 자체에서 여러 노력을 하고는 있으나 팀 잘못 만나면 회사생활 힘듦,다니기 무난함 회사 차원에서 복지수준을 향상시키기 위한 노력을 함,어느회사나 그렇듯 일부 고인물들이 분위기를 좌지우지하며 흐리는 경향이 있음,문제를 인지하고 소통하려는 모습은 좋은데 실제 개선이 되었으면 좋겠음
신입개발자에겐 강추! 본인이 하고 싶은 기술에 대한 제한이 없고 성장을 위한 지원이 아주 많다. 새로운 사업들도 굉장히 전망이 좋아보인다.,"자유로움(자율좌석 및 근태관리가 따로 없음), 주3일 재택, 열정 넘치는 주니어 개발자들, 강의 및 도서에 대한 아낌없는 지원",점심식대가 나오지 않는다. 단점보단 장점이 더 많아보인다.,점심 식대 지원이 됐으면 좋겠습니다.
중간 시니어급은 다 나가고 현재 라이선스로 근근히 먹고 사는 곳,신입과 병특으로 이어지는 곳 회사 비전은 크게 없어보인다,실력없고 삽질하는 임원진과 밑에서 고생하는 직원들이 안타까움,핫하다는 거 다 하려고 하다가 이도저도 안된 케이스라고 봅니다
다니기 좋은 회사 복지가 나름 잘 되어있고 다양한 방면으로 복지를 늘리려고 한다.,연차 눈치없이 사용할수있고 근속연수 따라서 리프레시 휴가도 제공해준다,딱히 큰 단점은 없으나 굳이 뽑자면 인사관리가 다소 소홀하다는점?,직원들과 소통을 좀 더 원활하게 잘 해주면 좋을 것 같습니다
개발자가 대우 받으면서 보람차게 일할 수 있는 기업,연차를 윗사람 눈치 안보고 쓸수 있음 연차가 많음 호봉제라서 좋음 여러모로 괜찮음,한사람의 평가로 이뤄지는 업무구조 및 다소 올드한 회사 분위기 카페테리아 커피 맛없음,실무진을 좀 믿어주시고 잘 진행해주셨으면 합니다.
옛날기술로 아직까지 울궈먹는 회사 복지는 없음 자율출퇴근 가능,재택근무이나 거의 없어졌음 부속기기 지원을 잘해줌 신규컴퓨터 지급,회사가 고요한분위기 재택근무로 sns로 커뮤니케이션하는데 부재중인경우가 많아,없음 이미 퇴사한마당에 바라는점이 있는게 이상함
사람좋고 일하기 괜찮음 가끔 야근도하지만 적당함,기업 특성상 유지보수 업무가 많고 고인물이 좀 있지만 대부분 사람들이 착함,신규사업의 전략이 모호한 경우가 있음 구체적인 비전을 제시해서 직원들을 이해시켜줬으면 함,딱히 없고 지금처럼 유지해주세요 그동안 감사했습니다
개발자 대우는 잘해줍니다 무엇보다 사내 사람들이 굉장히 좋은편이며 성장욕구가 꽤 있어서 놀랬습니다.,자기계발을 위해 지원이 아낌없으며 개발자 대우가 좋은편입니다.,임원직분이 특정 분야에만 오래 계셔서 그런지 타 포지션에 대해는 크게 관심갖거나하진 않고 성격이 매우 급하신편입니다.,신규 사업에 대해 확신을 갖는건 좋으나 사실 실무자가 보았을때 크게 동기부여가 되진않은것 같습니다. 좀더 확실한 사업 방향을 제시해주시거나 임직원들에게 그에 맞는 보상이 있다면 좋겠습니다(지금은 보상해준다는 말은 있지만 얼마나 어떻게는 모르는 상황)
