제목,장점,단점,경영진에게 하고싶은 말
다양한 경험을 쌓을 수 있습니다. 이것저것 다 해야해서 힘들수도 있는데 그만큼 배우는 것도 많은것 같습니다.,출퇴근 시간을 선택할 수 있습니다. 연차는 눈치 안보고 쓸수있는 편입니다. 자유롭게 의견을 제시할 수 있는 분위기 입니다.,퇴직률이 높습니다. 2~3년 정도 일하다 이직을 많이 합니다.,임직원들 이야기에 많이 귀기울여주시려고 노력해주셔서 감사합니다.
"개발직군을 지원한다면 추천합니다. 충분한 역량을 키울수 있고, 재택 근무에 최적화된 업무 환경을 제공하고 있습니다.","수평적인 조직 분위기, 자유로운 연차사용, 복지제도, 재택 근무 체계화",트렌드를 따라가는 것은 좋은 취지이나 이로인해 기존 업무 롤이나 조직이 크게 변경되는 경우가 종종 있습니다,임직원 모두가 만족할수는 없겠지만 긍정적인 방향으로 발전해갔으면 좋겠습니다
"리뷰 평가 관리하나? 4점은 읽을 가치가 없네. ""워라밸 최고의 회사입니다!"" 적으신 분은 팀장님이신듯? 이 회사는 신입이 딱 2~3년하고 나가기 좋은곳임. 소위 개발자 학원이라 불림. 능력 있는 사람들은 전부 대기업으로 넘어감. 게다가 좋은 기업 젊은 기업 처럼 보이려고 무난히 애쓰지만 겉만 그따위로 치장해 봤자 신입들도 들어 오고는 기업 문화 체험후 바로 뛰쳐나감.",장점은 연차를 눈치 없이 쓸수 있다는점. 월급이 끊길 일이 없다는점. 코딩 제대로 못해도 된다는 점.,다른 리뷰에 지속적으로 나오는 단점들. 인맥으로 채워진 리더 급들. 대리급의 부재. 낮은 연봉. 낮은 연봉 인상률. 점점 사라지는 복지. 회사 네임 밸류에 비해 낮은 코드 퀄리티. 개발자로서 성장하기엔 한계가 명확한 회사.,대리급들이 왜 모두 나가는가를 생각하십쇼. 신입은 바글바글한데 중간 개발자가 없다는건 무슨 의미일까요? 언재까지 능력없는 인맥으로 회사를 채워 나갈겁니까? 그리고 왜 돈을 이리 짜게 줍니까? 신입들에게 3천 중반 약속 하셔서 뽑았으면 이미 있던 대리급들의
한때는 좋은회사. 하지만 지금도 그렇다고 할 수 있을까,수평적인 문화. 업무에 대한 압박이 없는 편. 직원에게 책임을 묻지 않음,돈이 없어서 그런가 투자에 소극적. 직원들에게 투자를 잘 안해줌,아무리 좋은 전략을 세워도 사람이 없으면 사업을 할 수 없음
자유로운 생각을 펼칠 수 있는 젊은 기업,연봉은 직급에 따라 다르지만 높지는 않음 직원들 복지(행사)가 좋은편.. 조직에 따라 다르지만,핵심 인력들에 대한 과감한 투자필요 창립멤버에 대한 보여주기식 대우등..,직원들의 불만을 듣지만 말고 실제 반영이 되었으면 더 좋은 회사가 될듯
개발자가 대운받는 회사는 맞음. 하지만 애초에 연봉은 좀 작기 때문에 갈아타기 좋은 회사인듯,하는 일만 안 바쁘다면 연차는 눈치없이 쓸 수 있음. 그 외에 딱히 장점은 음.그냥 노력은 하는거 같은?,자율출근제를 아직 하고 있지 않음.,"딱히 바라는 점은 없고 회사의 매출을 높으려는 마음, 그리고 직원들 처우를 잘해주려는 마음 어느것이 먼저인지 고민이 될 거 같기는 함 하지만 좋은 인력에서 좋은 결과가 나온다는 사실을 알아줬음 함"
개발자를 높이 쳐주는 곳 실력이 야근없이 워라밸이 살아있ㄴ는 회사,편한 회사 수평적인 조직 개발자가 다른 직군에 비해 연봉이 높음,공무원같이 경직된 업무환경,신규 사업을 엉뚱한 쪽으로 하는 것 같아서 회사가 점점 더 어려워지는 느낌
신입으로 일이년 다니고 이직하기 좋은회사 가족같은 화사 라인 잘타면 실력 없어도 대우받는회사,연차 눈치안보고 쓸수있음 야근없음 아침에 빵나옴 카페테리아있음,중간관리자가없음,제발 ㄱㅊㅎ좀 버리세요 자기 사람이라고 냅두는거 진짜 아닙니다. 왜 줌에서 짤리고 쫒겨난 사람들 받아서 여러사람 고생시키는지 이해불가 사람들이 다 불만갖는덴 이유가있어요
"공기업같은 사기업, 급여 상관없고 자기 워라벨이 중요하다면 갈만한회사","연차편하게 쓸수 있음, 워라벨 최고, 육아휴직 이후 복직 가능, 여자들에겐 꿈의 직장 카페테리아 커피 맛있음",급여 생각보다 엄청 낮습니다. 상승률 또한 1~2프로로 신입 1~2년 정도 다니고 이직하기 딱 좋은 회사입니다. 그이상 다니면 본인 커리어 꼬이기 딱좋은회사입니다. 회사 재정상태가 안좋아서 연협 전체 동결비스무리하게 시켜놓고 그시기를 겪은 사람이 잘못이다(사장님이말함)라고하는 회사 신입이거나 집에 돈이 엄청 많으신분이아니면 절때 추천하지 않습니다.,"제발 고이고 썩은 물좀 제거하세요. 맨날 회사에서 퍼질러 자시는분이 사장님 라인이라는거 하나로 부문장달고, 무슨 구멍가게에요? 제발 생각좀하세요."
리스크가 거의 없도록 일하는 편이라 편하지만 돌아오는 것도 거의 없는 회사,익히 알려진 제품을 다수 보유하고 있는 회사인 만큼 그런 제품들과 회사의 인식을 적극적으로 바꾸기 위해서 회사와 직원 개개인이 많은 노력을 기울임 직원들은 납득할만한 이유가 아니면 다른 직원이나 회사를 비방하지 않으며 회사도 직원들의 불만을 이해하고 대응하려고 노력하는 편 업무적으로 다른 직원들에게 부담을 주지 않으려고 하고 무리해서 일을 진행하려고 하지 않으므로 관련된 스트레스가 거의 없음 강제야근은 아예없고 직원 스스로가 필요하면 야근함,젊은 사람들이 많은 회사임에도 불구하고 사무실에 활기가 별로 없고 일하는 방식에 대체로 추진력이 없으며 누군가가 추진해주기를 바라지만 막상 누군가 하는데 마음에 안들면 뒷담화 하는 편 내가 할 수 있는 일만 그리고 내가 해야할 일만 하려는 사람들이 대부분(뭐랄까 같이 일한다는 느낌이 들지 않고 1인 기업같은 느낌)으로 고만고만한 일을 하고 고만고만한 결과를 냄 스스로가 알고 있는것이나 익숙한 것으로만 일을 진행하려는 성향이 강해서 새로운 뭔가를 진행해도 그냥 다 거기서 거기임,새로운 사업을 추진하고 그것에 투자하는것 정말 좋고 환영합니다. 하지만 기존 사업을 유지하는 데에도 투자가 좀 더 있으면 좋을거라 생각됩니다
개발자가 성장하기 좋은 기업입니다 재택근무를 적극 활용합니다,휴가 눈치 안보고 씀 동료들 인성 좋음 개발 배우기 좋음,업계 평균 대비 다소 낮은 연봉과 애매한 회사 위치....,새로운 사업들 잘 키워서 성장하는 회사가 되었으면 합니다
신입개발자한테는 나쁘지않다. 경력개발자한테는 피해야하는 곳,"개발자 기준으로 적당한 연봉, 자유로운 연차 사용, 자유로운 워라밸, 꽤 나쁘지 않은 육아 휴가 지원",신입 개발자 기준으로 적당하기만 하다. 경력개발자로 회사와 같이 성장하기에는 안 좋다.,"실력있는 시니어 개발자를 영입하고, 붙잡아 둘 수 있는 방법을 마련하지 않으면 성장 그래프는 계속 로그 그래프에 수렴할 것이다."
"개발자가 일하기 좋은 곳이다. 또한, 신입, 인턴들이 자신의 역량을 키우고, 업무를 적극적으로 배울 수 있는 기회가 열려있는 곳이다.","사람이 좋다. 팀바팀, 부바부겠지만 전체적인 분위기와 주변을 보았을 때 서로 케어해주고, 자유로운 분위기다. 또한, 인사제도/조직문화가 계속해서 IT 기업들의 트렌드를 따라 발전하고 있어 점점 더 일하기 좋은 환경이 되고 있다.",흑자로 전환하며 성장하고 있으나 속도가 다소 더딘 느낌이다. 업력도 오래되고 사옥도 오래됐다 (공간이 다소 좁았다.),전문성을 더 존중해주시면 좋겠다. 각 분야의 전문가들의 의견을 따라 업무가 진행되었으면 좋겠다.
맡은 일만 똑바로 한다면 밝고 자유로운 분위기에서 개발할 수 있는 회사,개발자에 대한 대우가 좋습니다. 그리고 다들 밝은 표정으로 일하며 서로 존중하고 마주치면 항상 인사하는 분위기의 회사입니다. 업무 분위기는 맡은 역활만 잘 완수한다면 자유롭습니다.,주변에 물가가 너무 비싸서 점심 값이 많이 나갑니다. 자취를 한다면 마찬가지로 방값이 많이 나갈 생각을 해야합니다.,1층 매점에 더 맛있는 과자도 더 추가해 주세요! 그것 말고는 더 바라는 점이 아직은 없습니다.
야근은 부바부. 무난한 회사며 성장가능성은 잘 모르겠음.,비교적 자유로운 분위기. 아침 빵 제공하나 늦으면 못 먹음.,특별한일 없이 무난히 흘러감. 중간대리급 퇴사자가 많음,평가가 공평하고 투명하게 이루어지는지 모르겠음 신사업에 대한 공유
기업문화가 좋고 신입이 성장해나갈수 있는 회사,사옥이 있다 사내 카페테리아가 있다 인지도 있는 회사(나중에 이직할때 좋음) 그래도 서울에 있다 월급 안밀림 자유로운 직장 문화,주변 밥값이 너무! 비싸다 인공지능을 밀고 있지만 퇴사한 지금까지도 인공지능으로 수익을 못내고 있다. 너무 자유로운 직장,똑똑한 바보들 모아놓고 삽질하지 마시고 잘할수 있는 분야에 더 투자하시길
잡플래닛 리뷰가 뻥튀기되어있는 회사 퇴사율이 높고 불합리한 체계와 무능한 최고+중간관리자 대표중심의 회사,눈치잘보고 중간관리자에게 잘보이거나 위에 잘보이면 편하고 자유롭게 일할 수있음 실무자나 체계가 없어 작고 크고 새로운 일들을 많이할 수있음,비합리하고 알수없는 체계와 결정들 낮은 연봉 몇몇관리자들은 자기밥그릇과 고생한걸 지키기위해 아래사람을 갈굼 없어지는 복지와 교모하게 회사에 맞춰 변경 겉만 화려하고 실속없는 사업과 의사결정들 실력있고 괜찮은 사람은 대부분이 나감,회사를 위할 수 없으면 스스로 다들 물러나시는 것도 좋을 것 같음
개발자가 중심인 회사이며 그외 직종 사람들도 각자 영역에서 점점 인정받고 있는 구조인 회사,젊은사람들 중심이다 보니 회사 분위기가 상당히 유연하고 개방적임,생각보다 회사에 불만을 갖고 있는 사람들이 많음,해가 바뀔수록 회사의 미래가 명확해지는건 좋은 징조이지만 그에 맞는 직원들 대우가 개선될 필요가 있어 보입니다
워라벨 벨런스 대한민국최고?생각보다 나이대가 어린 임직원들,년차대비 야근횟수 손에꼽음 생각보다 수평적인 구조로 일하기 수월함,그래서 사람들이 의욕이 적음 개발자위주의 환경이라 일반직들은 소외감을 받을 수 있음,조금더 욕심을 내도 좋을듯 공무원같은 마인드보단 열의적인 느낌을 원합니다3
운이 좋고 눈에 띈다면 빠르게 성공할 수 있음. 재수없게 한직에 있으면 아무도 알아주지 않고 배울 것도 별로 없음.,나름 안정적. 휴가 마음대로 쓸 수 있음(몇몇 팀은 어렵다고도 하던데). 채용을 잘 해서 동료들이 대부분 좋은 사람들임.,불투명한 의사결정. 별로 없는 복지. 조직에 따라 심하게 다른 보상. 비좁은 업무 공간.,하고 있는 일에 따라 운이 많이 작용하는 보상 체계의 개선
"돌이켜보면, 개발자 생활하며 가장 많은 성장을 하게 해준 기업. 이스트 출신은 밖에서 인정 받는다는 말이 정말이었다. 한국 IT벤처의 1세대 기업으로서, 꼭 계속 성장해주었으면 좋겠다.","(좋은 팀장이 있는 팀에 있으면) 병특으로 온 정말 스마트하고 뛰어난 동료들 곁에서 일 할 수 있다 - 신입개발자를 체계적으로 교육하는 시스템이 정착되어 있다. - 무모할 정도의 큰 시장에 뛰어들어 그야말로 밑바닥부터 서비스를 만들어 볼 수 있다 ex) 포털, 메신저, 분산파일저장시스템, MMORPG","팀마다 기술의 수준차가 너무 크게 난다. - 레가시 서비스들에 대한 유지보수 팀으로 가면 정말 가늘고 길게 안주하게 된다 - 회사의 발전을 따라가지 못한, 오랜 근속자들이 여전히 회사의 고위직책에서 강한 영향력을 발휘하는거 같다. - 일반 앤드유저에게 회사 이미지가 나쁜 편이다.","인사팀은 지원부서이지, 실무부서의 위에서 군림하는 부서가 아니란 것을 알아주셨으면 좋겠습니다. 나중에 보면 좋은 의도로 시작된 보상도, 인사팀을 거쳐내려오면 굉장히 불쾌하게 도달합니다."
"개발자가 다니기에는 여러 모로 무난한 기업. 무난한 수준의 복지와 사내문화를 가지고 있음 그러나, 무난함 이상의 기업은 아닌듯하다.",물론 팀바팀이겠지만 상사가 간섭하는게 적어서 스트레스 안받고 회사다닐수 있음. 개발자 한정으로는 초봉도 낮은편이 아니고 시험보면 연봉 올릴수 있는것도 장점임. 야근 강요나 주말 출근해야하는 분위기도 아니여서 좋음,개인의 성장에 있어 좋은 회사인지는 잘 모르겠음.,글쎄요.. 저도 무엇이 문제인지 잘 모르겠네요
사원들한테 이렇게 다 퍼주다가 망하지않을까 걱정됨,아침에 1층 카페테리아에 준비해주는 샌드위치와 커피는 환상이다. 조직문화도 자유롭다 편하다,"엘레베이터 기다리는데 한나절, 9층이 사무실이였는데 계딴으로 올라갔다 내려갔다 다리 1년동안 다리 부러지는줄",면접시에 보는 교회가 몇개일까 묻는 질문은 도대체 왜 하시는건가요.
주어진 일을 하면서 편하게 다니기 좋은 회사,연차 자유롭게 사용 가능 대체로 수평적인 분위기 팀마다 다르지만 워라밸이 좋은 편 자유로운 복장,수직적 의사결정(업무) 업계의 트렌드를 따라가지 못하고 뒷북 치다가 접는 일이 많음 고연차(시니어)에게 배울 점 부족 매우 낮은 연봉상승률 (동결),잘하는 것이 무엇인지 가지고 있는 것이 무엇인지 냉정하게 판단하고 잘할 수 있는 것을 했으면
"대졸신입에게는 최적의 첫 직장. 팀마다 다르지만 대체로 회식, 야근 강요는 찾아볼수 없는 화기애애한 업무 분위기.",연차 사용이 자유롭다. 대체로 선한 사람들이 모여있어 사람간에 생기는 문제들로 스트레스 받을 일이 없다. 회식 문화가 건전하다. 사내문화를 위해 노력하는 것이 보인다.,"그냥 적당히만 하자는 자세로 다니기엔 괜찮은 회사지만 자기계발이나 경험, 경력을 원하는 도전적인 사람에게는 수동적으로 느껴질 수 있음. 군 대체복무로 짧게 일했거나 이직한 사람이 많아 업무분장이 다소 어수선함.","앞으로의 목표와 방향, 사업 모델을 결정했으면 더 적극적으로 직원들을 이끌어줬으면 하는 바람. 경영진의 비전이 직원들의 피부에 크게 와닿지 않는다."
90년대 우후죽순 생겨난 IT 스타트업 회사중에서 코스닥 상장하고 아직까지 명맥을 유지하고 있는 몇 안되는 제조사. 청년이라는 이름을 내걸었으나 기업문화는 OLD한 성향,"야근식대 만원, 다양한 복지혜택을 누릴 수 있음. 타 부서로의 이직도 가능하다고는 하나 시도해보지 않아서 논할 수는 없을것 같음.",회사의 위치가 애매해서 출퇴근이 힘듦. 엔지니어-개발자-영업직군간의 소통의 부재. 문제가 발생해야만 문제를 인지하고 해결과정도 모두 개인의 숙제,분사된 이후에 직원들간의 소통
"개발자 우선, 배울것이 많다고 보여짐, 워라밸 실현이 가능한곳","워라밸이 잘 균형을 이루는 곳임, 신입은 근무 하기 좋음","it기업인데 아직 보수적인 프로세스가 많이 남아 있음, 중간층 경력이나 히스토리 보유자가 없음","합리적인 급여, 평가가 필요하며, 복지제도의 개선이 필요하다."
함께 일하는 사람들이 좋습니다. 함께 좋게좋게 일하는 분위기 입니다.,연차를 눈치보지 않고 자유롭게 사용 가능하고 야근 시간에 따른 지연 출근 제도가 있어 다음날 부담을 좀 줄일 수 있습니다.,연봉제로 바뀌면서 연봉이 잘 오르지 않고 복지 부분도 좋아진 부분도 있지만 나빠진 부분도 있습니다.,직원들의 목소리에 기울인 합리적인 복지 및 보상 체계를 만들면 좋을 것 같습니다.
자유로운 분위기와 인간관계 스트레스 거의 없는 젊은 회사,"자유로운 분위기, 신입도 비교적 주도적으로 일할 수있는 환경",점점 구시대적으로 가는듯한 경영방식 실무진들과 경영진 사이의 깊어가는 괴리 점점 사라지는,돈에만 급급해할게 아니라 실무진들도 회사의 목표와 방향에 공감할 수있는 환경을 만들어야함
평범한 사람들이 모여서 평범한 제품을 만들어나가는 조직.,일반 기업처럼 보수적인 면이 갖는 장점과 IT회사의 자유로움이 주는 장점을 맛볼 수 있다.,반대로 IT회사의 자유로움이 가져오는 단점과 일반 기업의 보수적인 면이 주는 단점을 맛볼 수 있다.,너무 직원들 눈치를 보지 말고 상황에 따라서는 좀 더 강경하게 나가셔도 좋을 것 같습니다.
사원들끼리 교류를 위한 많은 제도들이 존재함 수평적인 분위기,"연차를 눈치 안보고 쓸 수 있음, 꼰대 문화가 없음,사원들에게 많은 복지를 제공하려고함.","야근 수당을 제공하지 않음, 구내식당이 없고 주변 물가가 비싸서 지출이 많아짐",경력직 위주의 채용이 많음 신입 채용도 늘었났으면
젊은 직원들이 많은게 장점이자 단점인 회사 성장해야 하는데 일 제대로 배우고 퇴사하거나 못배운 이들이 남아 학원같은 분위기 조성,젊다. 기회가 많다. 군복무 대체 병역특례 받을 수 있다.,주먹구구식의 업무처리하는 자들도 있다. 루팡하는 자들도 있다. 어디에나 있는 것이 함정이긴하다.,출퇴근 용이한(대중교통)편리한 위치로 회사 좀 옮기자.
편하게 월급받으면서 다니기엔 좋은 회사,호봉으로 연봉올라가고 개발 외적인 군은 별 고민없이 회사 다니는것이 가능,미래 먹거리가 없으며 앞으로도 그래 보이지 않는 다는 것이 가장 큰 문제,실무자들 말에 귀를 좀 기울이고 외부 인사들좀 영입해서 회사에 새바람좀 불어넣으시길
복지 시설이 좋다. 다만 회의실 및 사무공간이 부족한 느낌,개인의 능력이 중점적이다. 승진은 개인 능력 및 인간관계를 얼마나 잘하는냐에 따라 다르다,사무 공간이 적어지고 쓸데없는 회의실이 늘어나고 있음. 흡연 및 휴게실이 적음,게임 말고 보안 및 알집에 힘을 써보는게 좋을거 같다
비교적 좋은 사람들과 비교적 나쁘지 않게 비교적 열심히 일할 수 있는 곳.,"그래도 한국 소프트웨어 회사 중 시장 1위를 해 본 곳이라는 점? 그게 의도되었든 아니든, 누적된 경험이 많다는 것.",경직성. 아무래도 스타트업이 아니기 때문에 의사결정이나 회사 내부의 사정이 조금 복잡할 수 밖에 없다.,다시 열심히 달려가고 계신 것 멀리서 무운을 빌고 싶습니다.
"워라벨 그럭저럭 , 팀마다 케바케(야근,정시퇴근 등등)","눈치 안보고 연차사용 가능, 정시퇴근 가능, 팀마다 케바케","내로남불, 정시퇴근을 안 좋게 보는 상사 있음, 사람을 갈아서 일 하는 경우가 있음",성과도 중요하지만 그 성과를 만드는게 사람이라는 걸 알아주시길
워라벨은 좋은편. 최근에는 야근 많이 늘었다고 들음 개발쪽은 좋을 수도 있겠지만 그 외는 좋은지 모르겠음,워라벨만 좋음 하지만 눈치를 좀 봐야하는데 눈치안보는 타입이라면 워라벨 잘 챙길 수 있음 상사에 따라 다를듯 대체로 야근 안하고 일찍 가는 분위기임(개발제외),전체적으로 일할때 약간 삽질하는 경향이 있음 컨펌구조에서 다들 취향이 제각각. 회사 먹여살려야 하는 일에 집중안하고 겉치레가 많은 느낌. 고인물이 많고 새로 들어오는 분들은 대체로 빨리 나가는 편.,회사가 어려운게 느껴지는데 신사업의 투자가치가 높아보이지 않아서 안타까움
젊고 활기찬 기업 미래가 있는 기업 사람이 좋은 기업,사업기반이 안정적이고 복지가 좋은 회사 딱딱하지 않은 분위기의 자율적인 분위기,개발자가 상대적으로 우위에 있다는 느낌이 있으나 대체적으로 서로 존중해 주는 분위기,항상 즐겁고 활기차게 일할수 있는 분위기를 유지시켜 주세요
개발자에게 첫직장으로는 좋은것 같습니다. 연봉 수준도 괜찮은 편입니다.,부서에 따라 다르겠지만 초과근무가 적었습니다. 연차 사용도 나름 자유로웠구요.,몇몇 분들이 책임감이 없는게 너무 눈에 보임. 말은 친절하게 하는데 일을 떠넘기는 느낌을 많이 받았습니다.,직원들 면면을 보려고 노력했으면 좋겠습니다. 가끔 어이없는 인사가 승진되는 경우도
사업성은 없어보이지만 워라벨을 중요하게 생각하는 사람들에게 추천,IT 업체인 만큼 수평적인 구조임. 국내 최고? 보안 솔루션을 보유하고 있음.,AI 분야에 뛰어들어 수익을 내려하지만 쉽지않아보임. 기존 개발진들이 희망을 잃고 떠나는 분위기.,기존 개발하던 제품들과 현재 진행하는 기술의 갭이 크다고 생각함.
회사 전체적으로 분위기는 좋지만 몇몇부서 분위기가 좋지 않다. 개발자에게 대우가 좋은 회사이다.,"개발자에게 대우가 좋은 회사, 2~3년 경력 쌓기 좋은회사.",몇몇 부서가 분위기가 좋지 않다. 처음 입사자가 회사 적응하기 힘들다. 회사주변에 먹을곳이 별로 없고 너무 비싸다.,"체계적인 입사자 관리, 즐거운 부서 분위기 조성, 팀장관리"
경력에겐 절망뿐이고 신입들은 잘못된 직장 문화만 배움,신입이나 병특에게는 좋은 회사지만 잘못된 업무 방식을 배워서 이직 시 고생은 불가피,비겁하고 무책임하며 소심한 기업 분위기가 만연하고 일을 아마추어처럼 하며 업무와 무관한 부분으로 승진 여부가 가려짐 정치질이 매우 중요하고 직원들은 작업물에 아무런 자존심이 없음 그런 사람들은 다 못버티고 나감,큰 그림을 그릴 줄 알아야 하는 pm자리에 신입 뽑는 미친 짓은 누가 생각해냈냐
"겉 분위기는 자유로움, 수평 속 문제들은 방향성 상실","연차 소진 자유로움, 낮은 연령대, 징검다리 휴가 권장","저새한 업무 방향성이 없다, 무능력한 시니어급이 많다, 보상이 제대로 나온지 굉장히 오래됐다",중장기 계획애 걸맞는 자세한 업무 계획
3년만 채우고 다른 곳 가기엔 괜찮은 회사,"개발자 우대. 다른 기업으로 이직하기 위한 발판으로는 좋은 회사. 회사 자체가 젊고, 팀바팀이지만 칼퇴, 자유로운 휴가 사용.",개잘자만 우대함. 근데 개발자도 그렇게 우대하지 않음. 3년 채우고 대다수가 나가서 점점 고인물과 신입만 남음. 일하면 일할 수록 담당 프로젝트가 많아져서 일이 쏟아짐.,"돈 안되는 사업은 쳐내고, 월급 루팡은 해고 시켰으면 함."
우리가 모두 아는 알툴스를 만드는 자부심을 느끼는 회사,건물을 따로 보유하고 있음. 분위기가 IT기업 스러움. 다양한 업무를 경험할수잇음.,중소기업에서 나타나는 뻔한 단점들 마찬가지. 사건사고가 터질수있음. 수익구조 등에 대한 걱정들,계속 좋은 기업으로 거듭날 수 있게 노력해주세요 화이팅
수평적인 분위기라 다니기는 좋으나 일이 잘 진행안될때가 있음,"연차를 아무때나 쓸 수 있고, 당일날 연차를 내는 것도 가능함. 저녁식대라 만원이라 가격신경안쓰고 왠만한건 먹을 수 있음.",민원에 비해 공간이 너무 좁아서 갑갑한 느낌이 있음. 회의실도 부족하고 자리도 좁아지고 복지가 점점 안좋아짐.,일할 수 있는 분위기가 점점 사라지는 분위기가 되어가는것 같음.
"더 성장하고자 하는 기업에서, 좋은 상사분과 팀원들을 만나 많은 것을 배울 수 있었습니다.",퇴근이 자유롭고 사원들의 시간을 존중해준다는 느낌을 받음. 윗선으로 갈수록 보수적인 모습이 보이나 사원들끼리는 자유롭고 서로 존중하는 분위기임. 기업 성장을 위해 여러 사업을 하고 있는데 마치 스타트업과 같은 느낌을 받음. 다양한 일을 경험해볼 수 있다는 면에서 좋음.,인사이동이 많아 부서간 경계가 뚜렷하지 않은 편임. 또 자유로운 분위기에 열심히하자는 분위기는 아닌것 같음. 자체 세미나나 스터디가 다양하게 이루어졌으면 좋겠음. 또 부서별 전문성이 뚜렷해질 수 있도록 하는게 필요할 것 같음.,"여러 사업을 하는 것도 좋지만 기업 이미지를 개선하기 위해 다양한 방법을 강구하는 것도 필요할 것 같음. 사원들이 일하는 것에 비해, 또 제품 퀄리티에 비해 너무 기업이미지가 안좋은것같음."
젊고 자유로운 아이티 회사다. 정직원이 되면 참 좋을듯하다,아이티 기업이라 그런지 젊은 사람들이 많다. 그래서 자유로운 분위기 이다. 자기 할일만 잘하면 편한 회사.,젊은 사람이 많아서 자유로운 분위기다. 그냥 각자할일 조용히 하다 가면됨,회사에 식당이 없고 근처에도 식당이 없음. 식당을 만들었으면 좋겠음.
스스로 동기부여가 강한사람이 성장할 수 있는 곳,워라벨을 지킬 수 있다. 그 만큼 자기가 원한다면 자기개발을 할 수 있어서 좋다.,현상유지에 급급하다. 무언가 항상 바쁘지만 결국 급급하게 처리하다보니 발생하는 불필요한 일들일 경우가 많다.,주변의 쓴소리도 때론 충언이니 잘 헤아려 듣기를.
뭔가 하려는 시도는 보이나 결과적으로 뚜럿하지 않아 희미하다,연차를 비교적 자유롭게 쓴다 케바케로 부서 마다 다른 성과 체계를 지닌다 열심히만 평범하게 생각없이 다니긴 좋다,실력이 도퇴된다 우물안 개구리 되기 쉽다 기술력이 없다,내실을 다져야지 보여주기 급급합니다 안을 키우세요
회사는 편하고 좋다 다만 부서나 팀에 따라 천국과 지옥이 확갈린다,연차 자연스럽게 쓸 수 있는 것처럼 눈치는 보이고 쓰긴 쓸 수 있음 딱히 고민안해도 아무도 퀄리티 신경안씀 대충 해도 티 안남 묻어가고 말만 번지르르하면 고속 승진가능함 그 후에 루팡되면 놀면서 돈벌수 있음,일을 하나 안하나 티가 안남 보고가 안되는건지 다 잘라먹는건지 웹 서핑질하고 노는 사람이 승진하고 열심히 일하는 사람은 다 일하다 저런 장난질에 빡치고 지쳐서 자진퇴사함 경력이나 신입오면 그걸 반복 그리고 뒤에서 말만 하다가 몰래 자기가 한것으로 함,하던대로 하세요 희망이 없음 될대로 되겠죠 될대로 되겠죠 뭐 거진 10년 넘게 안고치고 굳어진 문화인데 고칠 생각하는 사람들이 다 죄인되고 잘려나가는데 고쳐질 리가 없죠 고인 물이 크네요
별 생각없이 다니긴 좋음. 다만 회사의 미래가 너무 안보인다.,개인적인 회사 문화. 여자들이 다니기 매우 좋은 회사라고 생각됩니다.,회사가 뭘 하는지 알 수 없음. 현실과 너무 동떨어진 미래만 지향함. 그로인해 회사에 대한 자부심이 안생김.,기업은 이윤을 추구하기 위해 존재합니다. 돈을 버는 사업을 해주세요. 부탁드립니다.
개발자가 일하기에 좋은 기업 젊은 사람들이 넘치는 기업 군대문화 아님 능력만큼 인정 받고 기회 많음,젊은 사람들이 많음 그래서 기회가 많다 1층의 까페테리아는 참 분위기 좋다 개발자가 일하기에 참 좋다,개발직군 연봉은 괜찮으나 관리나 기타 직군은 애매함 의외로 정치를 함 어떤 부서 어떤 제품을 맞는지가 중요함,크게 바라는점 없음 좀 더 사람을 중요시 여겼으면 합니다 직원들의 퇴사가 의외로 많아요
